scene	summary
s01e16_scene002_0450_0470	"Penny will drive Sheldon to get Leonard a present before the party. She will wrap up an order of mee krob and a couple of lottery scratchers.
"
s01e07_scene002_0602_0622	"Leonard and Penny are sleeping. Sheldon is eating cereal and watching Doctor Who on BBC America on the couch. He wakes up at 6 am and eats cereal.
"
s01e07_scene000_0142_0153	"Penny is new in town and she's looking for Howard. Penny and Sheldon are surprised that Howard is not at the meeting with her. Howard doesn't know her.
"
s01e12_scene009_0857_0877	"Raj, Leonard, Howard and Sheldon need a social catalyst. They can't get 15-year-old girls drunk. Sheldon is a Jew and would wail at the Wailing Wall in Jerusalem.
"
s01e08_scene003_0946_0966	"Lalita came tonight to get her parents off her case. Lalita is not Howard's lady. Raj and Lalita's parents said they are 100% hooked up.
"
s01e08_scene000_0210_0230	"Leonard and Howard are fans of the musical Fiddler on the Roof. Sheldon and Leonard are not big fans of musicals, but they both love the premise of the show. Sheldon, Leonard and Howard agree that the story of Fiddler is universal.
"
s01e09_scene006_0936_0956	"Leonard Hofstadter is an egotist who needs to get his self-esteem from strangers to feel good about himself. Sheldon thinks he's smarter than everyone else in the room.
"
s01e16_scene003_0535_0544	"Leonard doesn't smell gas, but he doesn't believe his doctors. Howard thinks he might have smelled it, but it's not gas.
"
s01e10_scene007_1056_1076	"Toby and Sheldon discuss addiction and genetic predisposition towards addiction. There have been studies, but there are no double-blind studies, so there is no control group.
"
s01e08_scene001_0457_0473	Penny, we'd love to help you, but Raj is going through some stuff right now. And besides, he doesn't drink, so... (WHISPERING INDISTINCTLY) Really? Um... Raj is going through some stuff right now and he'd like to take up drinking.
s01e06_scene003_0775_0795	"Leonard and Penny are at a party. Sheldon is a zebra and Kurt is an elf. Sheldon's costume is a scathing indictment of the American education system.
"
s01e05_scene006_1039_1059	"Leonard wants to make plans for New Year's with Leslie. The blogosphere is abuzz with news of him and Leslie making the bang, bang music.
"
s01e17_scene001_0167_0187	"Raj found Penny's boyfriend's iPod. He posted intimate details of their physical relationship on his blog. Raj will sell it on eBay as slightly used.
"
s01e13_scene004_0553_0573	"Leonard and Howard don't want Blossom from TV's Blossom to join their Physics Bowl team. Raj wants to ask Leslie Winkle from The Wonder Years.
"
s01e17_scene002_0304_0324	"Leonard doesn't want to read Penny's sex life. Penny feels betrayed and embarrassed and wants to crawl into a hole and die. Everyone else has already read it.
"
s01e13_scene004_0613_0633	"Leslie and Leonard have seen each other's faces during sexual intercourse. They don't feel uncomfortable about it. Leonard's preferences and performance are protected by the inherent rights of the relationship.
"
s01e15_scene004_0548_0568	"Leonard's sister is an attractive woman. She has the symmetry and low body fat that Western culture deems desirable. It's noteworthy that at other points in history heavier women were the standard for beauty because girth suggested affluence.
"
s01e03_scene009_1242_1262	"Leonard took Penny on a date with guys who didn't show up because of work and a colonoscopy, but it was just him, Penny and her.
"
s01e05_scene003_0630_0648	Sheldon. In the living room. I just... I wanted you to know I saw the tie. Message received. You're welcome. You carry on. Give my best to Leslie.
s01e04_scene007_0615_0631	"Sheldon has an idea for a bulk, mail-order feminine hygiene company with glow-in-the-dark tampons. Sheldon and Leonard will be rich.
"
s01e11_scene000_0027_0047	"Leonard is not well suited for three-dimensional chess, so Sheldon suggests that he should try Candy Land instead. Sheldon and Leonard are playing Candy Land now.
"
s01e10_scene000_0142_0162	"Leonard and Penny are going to a symposium on molecular positronium on Friday at 8 pm. Sheldon will join them a week from Tuesday at 6.
"
s01e16_scene001_0193_0213	"Leonard is coming to a Thai restaurant. Howard wants him to make sure he doesn't eat peanuts. Every Thai restaurant in town knows you can't eat them.
"
s01e03_scene002_0402_0422	"Leonard wants Lesley to define the parameters of the kiss. Lesley wants it to be spontaneous, closed mouth, but romantic and with a Mint kiss.
"
s01e10_scene007_0856_0876	"Leonard's cousin Leo is Sheldon's cousin. Leo is 26 years old and originally from Denton, Texas. Leo was a Navy brat. Sheldon does not have a cousin Leo.
"
s01e12_scene003_0382_0402	"Leonard and Sheldon are going to collaborate on a project together. Sheldon is going to focus on his research instead of working on Dennis Kim's research.
"
s01e17_scene006_1021_1041	"Leonard and Sheldon are going to go on a date. Sheldon is thinking of Schrödinger's cat as a response to Leonard's question about the date.
"
